version_date,title,brief,keyword,url
2023-01-16 14:04:30,普京：特别军事行动进程积极 经济形势稳定远超预期,俄罗斯总统普京15日表示，俄对乌特别军事行动发展进程呈积极态势，一切都在国防部和总参谋部的计划内进行。他同时表示，俄经济形势稳定且远好于预期。,俄罗斯 军事行动 经济形势,https://news.cctv.com/2023/01/16/ARTIIMb0ggq3H1ezWNiiFyCX230116.shtml
2023-01-16 14:02:18,尼泊尔雪人航空公司发言人：失事客机上72人全部遇难,加德满都消息：据印度联合新闻社15日报道，尼泊尔雪人航空公司发言人证实，搭乘该航空公司ATR 72客机的68名乘客和4名机组人员全部遇难。,尼泊尔 失事客机,https://news.cctv.com/2023/01/16/ARTINTFJGIFrO7pxNFGrzUQG230116.shtml
2023-01-16 14:00:32,世界周刊｜议长“险胜”之后 美众议院仍面临艰难考验,2023年刚刚开局，美国国会就进入一阵混乱，为了选出议长，国会众议院在四天的时间里进行了15轮投票，共和党领袖凯文·麦卡锡才最终以微弱的优势涉险过关。这也成为了164年来美国最“难产”的一次议长选举，而对这位新议长的艰难考验才刚刚开始。,美国 众议院,https://news.cctv.com/2023/01/16/ARTIJZGsAIabnnt21wW6idUE230116.shtml
2023-01-16 13:11:24,一架搭载72人的尼泊尔客机在尼中部博克拉地区坠毁,尼泊尔政府官员15日说，尼泊尔当天发生的客机坠毁事故遇难人数上升至68人，其中包括6名婴幼儿。,72人 尼泊尔 客机 坠毁,https://photo.cctv.com/2023/01/16/PHOA11sLcWENmASoeqbmEu7L230116.shtml
2023-01-16 10:58:11,亚洲基础设施投资银行开业七周年 项目遍布全球33个国家,今天（1月16日），首个由我国倡议成立的多边开发机构亚洲基础设施投资银行，开业运营七周年。七年来，亚投行支持了30多个国家的基础设施建设，改善了当地人民生活。,亚洲基础设施投资银行 开业七周年,https://news.cctv.com/2023/01/16/ARTIlBX7GiuCyOoEx8Qd0IUp230116.shtml
2023-01-16 09:40:02,南非约翰内斯堡一轻型飞机坠毁,1月15日，南非豪滕省一架轻型飞机在训练飞行时坠毁，机上两人死亡。,南非 约翰内斯堡 一轻型飞机坠毁,https://photo.cctv.com/2023/01/16/PHOA7MMZVSrCt8So7zeoucSO230116.shtml
2023-01-16 08:42:52,西方媒体：中国怎么做都是错的,自中国优化疫情防控措施以来，一些西方媒体迅速“变脸”，刻意歪曲中国的政策调整，炒作所谓“中国疫情失控”；而在不久之前，同样是这批西方媒体，还在对中国的“动态清零”大肆抹黑抨击。前后两种截然不同的态度看似自相矛盾，其实背后却都忠实地遵循着西方媒体的一贯逻辑，那就是“中国永远是错的”。,经济学人 媒体 政治偏见 新冠 盟友 Fei Shekez Kenji 微信,https://news.cctv.com/2023/01/16/ARTI9nZaDF7XrLpdLCMLbNMT230116.shtml
2023-01-16 07:28:05,韩国一高速公路数十辆汽车连环追尾 已造成1死多伤,韩国京畿道抱川市一高速公路15日晚间发生数十辆汽车连环追尾事故，已造成1人死亡、多人受伤。,高速公路 追尾事故 汽车 连环 韩国 消防部门 引发交通 道路结冰 首尔 医院,https://news.cctv.com/2023/01/16/ARTIDYgAbk4GvibwQIvNsx4T230116.shtml
2023-01-16 06:28:35,“我们已为中国游客准备好红毯”——东南亚多国翘首热盼中国游客到来,柬埔寨、越南、印度尼西亚和缅甸等东南亚国家对此反响热烈，纷纷作出行动，大力吸引中国游客到来。,2019年 无烟工业 旅游业 柬埔寨旅游 越南旅游 外国游客 旅游部 洪森 游客达 世界文化遗产,https://news.cctv.com/2023/01/16/ARTIySfOkX8kPSiGsu5SvqEb230116.shtml
2023-01-15 20:56:38,塞尔维亚总统：匈塞铁路对推动塞北部发展至关重要,塞尔维亚总统武契奇14日在塞北部城市诺维萨德附近视察匈塞铁路诺维萨德至苏博蒂察边境段建设工地时说，匈塞铁路对于塞尔维亚北部地区发展、沿线旅游开发和招商引资至关重要。,塞尔维亚 铁路 贝尔格莱德,https://news.cctv.com/2023/01/15/ARTI21UyrJtpZkksC7DTuxPB230115.shtml
