version_date,title,brief,keyword,url
2023-01-20 16:55:23,西班牙旅游局长：期待迎接中国游客,西班牙国家旅游局局长米格尔·桑斯18日表示，中国有序恢复公民出境旅游等措施将助力全球旅游市场全面复苏，西班牙期待迎接中国游客。,游客 旅游组织 西班牙,https://news.cctv.com/2023/01/20/ARTIrE2JBRWfebNhCfFsbS5M230120.shtml
2023-01-20 16:55:09,水门礼迎接！又一国诚意满满欢迎中国游客,当地时间1月18日中午，中国首都航空JD455航班在马尔代夫维拉纳国际机场平稳降落。中国驻马大使王立新和马尔代夫旅游部长毛素姆参加了欢迎仪式，并同机组人员和游客合影留念。,欢迎仪式 水门 马尔代夫旅游,https://news.cctv.com/2023/01/20/ARTIKGm04b3oaQtTE6bzyNx4230120.shtml
2023-01-20 16:53:54,新春走基层｜“中国年货”风靡海外 中欧班列货运量逆势增长,2023年1月19日10时18分，一列满载“中国年货”的中欧班列从国铁天津货运中心新港站发出，标志着今年已有3000标准箱各类货物由天津地区发往蒙古、俄罗斯等国家。,中欧班列 集装箱叉车 全球,https://news.cctv.com/2023/01/20/ARTIAboLANdjbnKtG9tgCUvQ230120.shtml
2023-01-20 14:21:04,马来西亚点亮中国红,近日，马来西亚大街小巷装点着各种中式元素的春节装饰。,马来西亚 点亮 中国红 春节,https://photo.cctv.com/2023/01/20/PHOAqDl9YhNNs7LHfpjVIH6w230120.shtml
2023-01-20 10:42:32,海外迎新春,临近中国农历春节，世界各地年味渐浓。,海外 迎新春 春节 兔年 节日,https://photo.cctv.com/2023/01/20/PHOA7x2x52pXeqjyb20Wbnph230120.shtml
2023-01-20 10:26:07,土耳其上空出现碟形透镜云,当地时间2023年1月19日，土耳其布尔萨，城市上空出现碟形透镜云。,土耳其 上空 碟形透镜云,https://photo.cctv.com/2023/01/20/PHOA9uLblwzHW7R71o62Vyv6230120.shtml
2023-01-20 06:49:46,多国热情欢迎中国游客,随着中国优化调整防疫政策，公民出境旅游有序恢复，多国热情欢迎中国游客，积极开展宣介推广。多国人士认为，中国游客的到来将助力世界旅游市场复苏，为旅游目的地国经济发展注入新活力。,支付宝 餐饮资源 游客数量 游客总数 中国公民 多国 中文导游 2019年 公民出境 旅游市场,https://news.cctv.com/2023/01/20/ARTICtGoR7654ObBIRl08b4w230120.shtml
2023-01-20 06:40:13,法国遭遇大规模罢工和示威游行浪潮 反对退休制度改革,法国当地时间19日遭遇大规模罢工和示威游行浪潮。相关活动由法国主要工会组织发起，旨在反对退休制度改革。,示威游行 退休制度 法国,https://news.cctv.com/2023/01/20/ARTIv6q2h161d8LGlSzFdlVm230120.shtml
2023-01-20 06:34:14,俄外长年度记者会：2022年最具悲剧性词语是“战争”,俄罗斯外交部长拉夫罗夫18日在莫斯科举行年度记者会，盘点2022年俄外交工作，并就乌克兰危机、俄西关系等热点问题阐述了俄方立场。,拉夫罗夫,https://news.cctv.com/2023/01/20/ARTIHNCy0dL5KzTOLCbtl04K230120.shtml
2023-01-20 06:32:16,日印首次举行战机联合演练 各有盘算,日本和印度自16日起，在东京附近展开首次联合战斗机演习。在为期11天的演习中，双方将展开多种科目的训练。有媒体指出，无论是在军事装备上还是战略上，两国实际上都各有盘算。,联合军演 日印,https://news.cctv.com/2023/01/20/ARTIO16dd2mnPDcfAs60Mm1l230120.shtml
2023-01-20 00:25:55,美媒：美将向乌克兰提供新一批武器装备,美国媒体当地时间18日报道，美国政府将在本周五，也就是20日，宣布向乌克兰提供新一批武器装备。不过，就备受关注的主战坦克，美国目前态度仍不明朗。,美国 乌克兰,https://news.cctv.com/2023/01/20/ARTI5u2X14nVlT8yLHC5KbYV230120.shtml
2023-01-20 00:20:33,拜登2023年国情咨文讲什么？会否官宣竞选连任？,美国国会众议院议长选举“乱局”之后，新当选的共和党议长麦卡锡宣布邀请拜登2月7日到国会发表国情咨文。白宫随后发表声明称，拜登已经接受了这一邀请。,拜登 国情咨文,https://news.cctv.com/2023/01/20/ARTIrp03SVmHWzu99byaAovQ230120.shtml
2023-01-20 00:04:04,俄称一年来已拦截近5万起针对俄罗斯的网络攻击,当地时间19日，俄罗斯副总理德米特里·切尔内申科表示，自2022年年初以来，俄罗斯已拦截近5万起针对俄罗斯的网络攻击，并解决了另外1600起网络安全事件。（总台记者 徐鸿波）,俄罗斯 网络攻击,https://news.cctv.com/2023/01/20/ARTIt0PiH0POl3qgPwmWBpxJ230119.shtml
2023-01-19 16:42:38,俄罗斯民众浸泡冰水庆祝主显节,当地时间2023年1月19日，俄罗斯民众在严寒中浸泡冰水，庆祝主显节。,俄罗斯 民众 浸泡 冰水 庆祝 主显节,https://photo.cctv.com/2023/01/19/PHOAxsEHyc3xpFm31wUp46aJ230119.shtml
2023-01-19 16:13:22,新西兰总理哽咽宣布辞职，透露两件大事,“我的油箱里已经没有足够的油来完成这项工作了。”当地时间1月19日上午，新西兰总理阿德恩突然宣布将于2月辞职，她称自己不再有“足够的精力”来领导国家。,阿德恩 新西兰北岛 工党,https://news.cctv.com/2023/01/19/ARTIcboVqO8NYUOWLuymIbTa230119.shtml
2023-01-19 16:00:16,辞岁迎新 相约兔年,人在海外，便格外在意中国传统节日，其中最重要的当属除岁迎春的春节。在维也纳留学，我已过了3个春节。,春晚 国家留学基金委 兔年,https://news.cctv.com/2023/01/19/ARTIg1s3cESYIq8uNw1om7dt230119.shtml
2023-01-19 15:56:05,伊朗召见韩国大使，抗议尹锡悦“干涉言论”,据路透社1月19日报道，伊朗国家媒体报道说，伊朗外交部召见了韩国驻伊朗大使，抗议韩国总统尹锡悦关于伊朗是阿联酋敌人的言论。,尹锡悦 大使 伊朗伊斯兰共和国,https://news.cctv.com/2023/01/19/ARTICHZ1eJhGncz9awQBJB4w230119.shtml
2023-01-19 14:25:42,乌克兰一直升机坠毁 乌内务部长等18人死亡,1月18日，一架直升机在基辅市东郊的布罗瓦雷坠毁，导致包括乌内务部长在内的18人死亡。,乌克兰 直升机 坠毁 内务部长 死亡,https://photo.cctv.com/2023/01/19/PHOAF9vK6111OvtDIt05JuHz230119.shtml
2023-01-19 13:14:20,总台CGTN联合全球多家媒体举办《洞见》系列媒体论坛,近日，中央广播电视总台CGTN联合全球10余家媒体，成功举办《洞见：媒体在全球抗疫中的责任和力量》及《洞见：携手同行 共促复苏》两场媒体论坛。活动邀请了来自美国、英国、澳大利亚、巴基斯坦、菲律宾、柬埔寨、肯尼亚、尼日利亚等国家和地区的主流媒体记者和知名专家学者参与论坛。嘉宾们认为，中国作为有14亿人口的大国，在过去三年抗疫实践中最大程度地保护了人民生命的安全，同时有效地支持了国际抗疫行动。中国优化调整疫情防控措施有利于提振全球各产业发展，为经济恢复活力提供强劲动力。,洞见 媒体论坛 CGTN,https://news.cctv.com/2023/01/19/ARTIXWOkmXfA2dqj2kTbRFTx230119.shtml
2023-01-19 11:36:37,“最令人激动的经济增长故事来自中国”,正在瑞士达沃斯召开的世界经济论坛2023年年会上，中国经济发展是各方的关注点之一。国际人士纷纷表示，随着市场需求逐步回升和政策效应叠加，中国经济社会活力将进一步释放，中国作为世界经济复苏“稳定器”和增长“发动机”的作用将更加凸显。,经济增长 中国式现代化 中国发展,https://news.cctv.com/2023/01/19/ARTI7UjvvoG6RVxA9lIUmB5C230119.shtml
2023-01-19 11:33:02,俄罗斯决定不向联合国欧洲经济委员会支付2022年会费,俄罗斯法律信息官方门户网站公布俄总理米舒斯京17日颁布的命令，接受俄外交部的建议，决定不向联合国欧洲经济委员会支付2022年会费。,联合国欧洲经济委员会 俄罗斯法律,https://news.cctv.com/2023/01/19/ARTImBjkA7f0KXk2blhgZB9o230119.shtml
2023-01-19 11:32:54,"特朗普称没拿""机密""文件：我留了300多份空文件夹 当纪念品很酷",据美国《纽约邮报》报道，当地时间18日，美国前总统特朗普通过个人社交平台发声，坚称没有将“机密”文件带到海湖庄园，只是保留了300多份空文件夹当做“很酷的”纪念品。,特朗普 文件夹 纪念品,https://news.cctv.com/2023/01/19/ARTIb4fDdX8ZkfUh7RZHMxej230119.shtml
2023-01-19 11:30:59,印度斗鸡活动发生意外 一天内斗鸡误杀2人,据《纽约邮报》等外媒18日报道，近日在印度举行的一场庆祝活动期间，两名男子在观看斗鸡比赛时意外被绑着刀片的斗鸡割伤，最终因失血过多死亡。,斗鸡 印度媒体 误杀,https://news.cctv.com/2023/01/19/ARTI6LE0z3c5Zj3G2ZNZdxQs230119.shtml
2023-01-19 11:20:28,难能可贵 前景光明——中国经济年报备受全球瞩目,中国国家统计局数据显示，初步核算，2022年中国国内生产总值（GDP）突破120万亿元，同比增长3%。海外舆论和观察人士认为，面对超预期因素冲击，中国经济顶住压力持续发展，增速强于预期，为将来更快、更强劲的增长打下基础。预计2023年中国经济增速将继续超过先前普遍预期，并为世界经济复苏注入更大信心与力量。,供给冲击 经济总量 经济增速,https://news.cctv.com/2023/01/19/ARTI9Mv6psgat7Ro86RnqF9o230119.shtml
2023-01-19 10:10:42,乌克兰总统要求对基辅州坠机事件展开联合调查,据乌克兰国家紧急情况局当地时间1月18日消息，一架直升机当天上午在基辅州坠毁。当天下午，坠机造成的死亡人数修订为14人，死者中包括乌克兰内务部长莫纳斯特尔斯基。另有包括11名儿童在内的25人受伤。乌克兰总统泽连斯基下令调查此次坠机事件。,乌克兰 基辅州坠机,https://news.cctv.com/2023/01/19/ARTIthS9U11LNsIa5r7gCBnL230119.shtml
2023-01-19 10:06:44,乌克兰内阁任命国家警察局局长代行内务部长职务,乌克兰总理什梅加尔18日宣布，乌内阁任命国家警察局局长伊戈尔·克利缅科兼任内务部副部长并代行内务部长职务。,内阁 职务 什梅加尔,https://news.cctv.com/2023/01/19/ARTI4yZVti13BEzagiZEusrq230119.shtml
2023-01-19 10:00:11,业务过失致人死伤，梨泰院事故属地警察署长被检方起诉,据韩媒报道，当地时间18日，因涉嫌处置梨泰院踩踏事故不力，前首尔市龙山区警察署长李林宰和前龙山警署112处置室长宋丙周(音)被韩国首尔西部地方检察厅提起公诉。,检方 梨泰院 过失致人,https://news.cctv.com/2023/01/19/ARTIHoCX7eBOTY4kAoQNPX5o230119.shtml
2023-01-19 07:03:20,为何不早点公开机密文件？白宫这样为拜登辩解……,据美国中文网报道，白宫当地时间17日对没有及时公开在拜登私人办公室和住宅中发现的机密文件一事进行了解释，坚称因保护司法部的调查，所以没有早点公开某些细节。,拜登 白宫 机密文件,https://news.cctv.com/2023/01/19/ARTIi1jdvBqbDC4om6KSYhin230119.shtml
2023-01-19 06:30:31,俄罗斯经济：在挑战和博弈中运行,1月17日，俄罗斯总统普京在联邦政府经济问题会议上表示，与预测数据相比，俄罗斯经济2022年的实际表现要好得多。,俄罗斯石油 俄罗斯经济 俄罗斯总统普京 俄罗斯天然气 油气产量 经济形势 国内生产总值 对俄 上限 博弈,https://news.cctv.com/2023/01/19/ARTI2gFEi5II5RQrT4pBoFQx230119.shtml
2023-01-19 06:18:50,俄罗斯决定不向联合国欧洲经济委员会支付2022年会费,当地时间1月18日，俄罗斯法律信息官方门户网站公布俄总理米舒斯京17日颁布的命令，接受俄外交部的建议，决定不向联合国欧洲经济委员会支付2022年会费。,俄罗斯,https://news.cctv.com/2023/01/19/ARTI6E1CmJpXr39yskkWqQsC230119.shtml
