version_date,title,brief,keyword,url
2023-01-12 15:56:06,俄央行13日起恢复外汇交易,俄罗斯中央银行11日宣布，将从13日开始恢复在国内外汇市场买卖外汇。,俄罗斯中央银行 外汇交易,https://news.cctv.com/2023/01/12/ARTIMeEgFQNMgspoKc5DtSWN230112.shtml
2023-01-12 15:21:16,阿富汗首都发生自杀式爆炸袭击已致5人死亡,喀布尔消息：据美联社报道，阿富汗首都喀布尔11日发生一起自杀式爆炸袭击，已造成5人死亡，数人受伤。另据路透社报道，极端组织“伊斯兰国”在当地的分支声称对该事件负责。,阿富汗首都 喀布尔,https://news.cctv.com/2023/01/12/ARTIG084hk2omnO1HFsnBF8b230112.shtml
2023-01-12 15:20:43,谷歌母公司首次大规模裁员，医疗子公司200多个职位被裁,当地时间1月11日，《华尔街日报》报道称，谷歌母公司Alphabet（Nasdaq：GOOG）旗下医疗保健部门Verily Life Sciences将裁员15%，涉及超200多个岗位，这是继其他科技公司经历裁员潮后，Alphabet首次大规模裁员。,谷歌 医疗项目,https://news.cctv.com/2023/01/12/ARTILuxmxntYtwOgFMYnMTP3230112.shtml
2023-01-12 14:54:26,日本去年11月经常项目顺差同比增长16.4%,日本财务省12日公布的国际收支初步统计结果显示，去年11月日本经常项目顺差同比增长16.4%。,日本 经常项目顺差,https://news.cctv.com/2023/01/12/ARTIkAj58bAQBxBeEfGrg1x3230112.shtml
2023-01-12 14:34:54,美联邦航空局：数据库文件损坏导致空中任务通知系统故障,美国联邦航空局11日傍晚通报说，数据库文件的损坏导致了此前空中任务通知系统发生故障。据一家航班信息追踪网站数据，截至美国东部时间11日晚9时，当天上万架次美国国内和国际航班被延误，1340架次航班被取消。,数据库文件 故障原因,https://news.cctv.com/2023/01/12/ARTIH0ZlJD7CXgOhLYNmMKRi230112.shtml
2023-01-12 14:29:10,2023美国少数族裔伤痛继续：安全感成奢侈品 犯罪和疫情面前“更受伤”,《纽约时报》1月10日发文，讲述了一名亚裔女性在美国生活的恐惧，“出门扔垃圾被人吐口水，感到前所未有的不安全。”,美国 少数族裔,https://news.cctv.com/2023/01/12/ARTInvITC4rgYvJT1w2gXi2C230112.shtml
2023-01-12 14:28:58,不要再针对中国！女记者质问美国智库“为什么不把钱花在真正的敌人身上”,当地时间1月9日，美国国际战略研究中心举行了一场和中国有关的活动，在提问环节，有女记者质问该智库“为什么不把钱花在真正的敌人身上”，话还没有说完就被夺了话筒......,战略研究 反恐战争,https://news.cctv.com/2023/01/12/ARTIXGIqqNUStQsepajFunzs230112.shtml
2023-01-12 14:28:34,世卫欧洲办事处：各国制定新冠防疫措施应基于科学并遵循适度和非歧视原则,世界卫生组织欧洲区域办事处主任克卢格10日在此间举行的新闻发布会上强调，各国制定针对新冠病毒防疫措施时应基于科学，并遵循适度和非歧视原则。,新冠 病毒 非歧视原则,https://news.cctv.com/2023/01/12/ARTITZO51x04mZPk4Br31ci0230112.shtml
2023-01-12 14:20:15,南极：小须鲸喷射出爱心形状的水花,南极半岛，一头孤独的小须鲸向空中喷射出爱心形状的水花。这头小须鲸在一艘人类船舶旁边呆了大约5个小时时间。,小须鲸 靠近人类 爱心水花,https://photo.cctv.com/2023/01/12/PHOA8KmA4JiCLTGb5uGo4mfl230112.shtml
2023-01-12 13:30:33,智利港口发生暴力抢劫 价值数百万美元铜板被盗,圣地亚哥消息：据路透社报道，智利当局11日表示，当地时间10日，智利主要海港圣安东尼奥港口发生一起暴力抢劫事件，价值约440万美元的铜板被盗。,智利 暴力抢劫,https://news.cctv.com/2023/01/12/ARTIJmCBV7zGNlPh8br9bpzE230112.shtml
