version_date,title,brief,keyword,url
2023-01-27 15:53:04,美国2022年第四季度经济增长2.9% 全年经济增长2.1%,美国商务部当地时间26日公布首次预估数据显示，2022年第四季度美国实际国内生产总值(GDP)按年率计算增长2.9%，2022年全年GDP增长2.1%。,经济增长 美国商务部 美国GDP,https://news.cctv.com/2023/01/27/ARTIG6in899UiUUY3rHX7Ts5230127.shtml
2023-01-27 15:51:23,风暴冰雪来袭 希腊政府发警报提醒民众注意安全,近日，希腊多地迎来大降温，部分地区降下初雪。然而，恶劣天气的突然袭击，也给不少岛屿和山区民众造成不小的麻烦。希腊政府发布警报提醒民众注意安全。,希腊 冰雪 降雪,https://news.cctv.com/2023/01/27/ARTIRZ0x26rryn9lL5W18voj230127.shtml
2023-01-27 11:21:53,美媒：美前总统和副总统被要求自查是否私藏机密文件,在总统拜登和前副总统彭斯家中都发现机密文件后，美国国家档案馆26日正式要求过去六届的美国总统和副总统重新检查自己保留的个人材料中是否包含不应被私藏的机密文件。,美媒 特朗普 美国国家档案馆,https://news.cctv.com/2023/01/27/ARTIpeBJqQ688RH63WYEJE8a230127.shtml
2023-01-27 11:21:43,联合国安理会将就巴勒斯坦局势举行紧急磋商,当地时间1月26日，巴勒斯坦常驻联合国观察员曼苏尔表示，安理会将会就此前以色列安全部队在杰宁地区行动造成至少10名巴勒斯坦人死亡一事举行内部紧急磋商。,联合国 联合国安理会 巴勒斯坦局势,https://news.cctv.com/2023/01/27/ARTIgV4RGyOJF9uKvmzNAVHm230127.shtml
2023-01-27 11:11:20,通讯：我们怀着满满的爱在雅典等待中国游客！,“我们等待中国客人，真心想要接待他们！”谈到中国不断优化疫情防控政策、有序恢复公民出境旅游，希腊餐厅老板斯皮罗斯·贝拉克塔里斯难掩心中喜悦。,雅典 机场免税店 中国游客,https://news.cctv.com/2023/01/27/ARTIEU3TCamIt8yAwiNev50c230127.shtml
2023-01-27 11:10:26,专访：荷兰非常期待和欢迎中国游客——访荷兰旅游局形象大使盖比,荷兰旅游局形象大使、羊角村村长盖比日前接受新华社记者专访时表示，中国有序恢复公民出境旅游，有助于荷兰旅游业持续复苏，荷兰非常期待和欢迎中国游客。,盖比 旅游局 荷兰,https://news.cctv.com/2023/01/27/ARTImhA3BDpaZFn3QQcTpBKM230127.shtml
2023-01-27 06:09:00,澳大利亚多地民众抗议 要求取消“国庆日”,1月26日是澳大利亚的国庆日，也是澳大利亚原住民的“哀悼日”。当天，上万名抗议者走上悉尼、墨尔本等主要城市的街头，要求废除国庆日。,澳大利亚,https://news.cctv.com/2023/01/27/ARTIafkimng0M6RvgQUHZXT6230127.shtml
2023-01-27 06:06:06,荷兰光刻机巨头CEO：美对华出口限制将推动中国成功研发自己的技术,荷兰光刻机巨头阿斯麦公司首席执行官温宁克当地时间25日在荷兰维尔德霍芬的公司总部接受采访时表示，美国主导的针对中国的半导体出口管制措施，最终会促使中国在高端芯片制造设备领域成功研发出自己的技术。,出口管制 光刻机 出口限制,https://news.cctv.com/2023/01/27/ARTIqYSZJ4zxtIxsz9xsU1ag230127.shtml
2023-01-27 06:03:58,美国国家档案馆要求过去6届总统副总统自查是否私藏机密文件,由于在前总统特朗普、现任总统拜登的私宅先后发现机密文件，美国国家档案馆当地时间1月26日根据《总统记录法》（Presidential Records Act）正式要求从里根开始的6届总统和副总统，重新检查自己所保留的材料中是否包含了不应被私自收藏的机密文件和应当提交给国家档案馆的总统记录。,美国,https://news.cctv.com/2023/01/27/ARTIlm6jb189tOtXsrAJgryp230127.shtml
2023-01-27 06:01:21,乌克兰敖德萨历史中心列入世界遗产名录 免遭更多破坏,联合国教科文组织（UNESCO）1月25日表示，将乌克兰港口城市敖德萨的历史中心列入世界遗产名录。同时，敖德萨这座城市也被列入濒危世界遗产名录。乌克兰总统泽连斯基对这一决定表示欢迎。,敖德萨 遗产名录 乌克兰,https://news.cctv.com/2023/01/27/ARTIBP67cqVevakwa3xblxIx230127.shtml
