version_date,title,brief,keyword,url
2023-01-27 00:43:53,中国城市快递业务量排行榜：粤东小城升至第四,根据国家邮政局近期公布的快递业务量前50城市情况表，金华(义乌)市、广州市、深圳市、揭阳市、杭州市、东莞市、上海市、汕头市、苏州市、泉州市位居前十。,中国城市 快递业务 排行榜,https://jingji.cctv.com/2023/01/27/ARTIQwLnFJccLTQlgrWZK2qX230127.shtml
2023-01-25 17:06:07,兔年新春中国消费市场加速回暖,记者发现，兔年春节期间，围绕冰雪消费，北京、天津、黑龙江等地相继举办冰雪欢乐购物季、冰雪消费节、冰雪艺术嘉年华等活动；美团研究院副院长厉基巍认为，兔年春节期间，本地、异地消费双双增长，优质供给持续发力，服务零售呈现供需两旺新趋势。,兔年 消费热点,https://jingji.cctv.com/2023/01/25/ARTI0aHQ7WpHxcLvi3bhG7Rl230125.shtml
2023-01-25 11:21:24,截至去年末私募基金管理规模达20.03万亿元,中国证券投资基金业协会日前发布的数据显示，截至2022年12月末，存续私募基金管理人23667家，管理基金数量超14.5万只，管理基金规模20.03万亿元。,私募证券 存续 私募基金,https://jingji.cctv.com/2023/01/25/ARTIsH1xuoE66lIijPCv7vsy230125.shtml
2023-01-24 17:05:55,多地积极尝试保租房REITs试点，一线城市20%的人接受10年以上租房,1月24日，“克而瑞租售”在发布的报告中称，未来5年，住房租赁将成为重要推动力。从2022年年初政策端明确加快推进保障性租赁住房公募REITs，到年中首批保租房REITs申报，再到近期4只保租房REITs上市，热度不断攀升。,租房 REITs,https://jingji.cctv.com/2023/01/24/ARTILExrsqxFQBAYDBEYpZnz230124.shtml
2023-01-24 13:06:46,海关部门三方面“组合拳”力促外贸保稳提质,稳外贸是确保经济平稳运行的关键之一。记者日前从海关总署获悉，2023年全国海关将在保市场主体、保市场份额、保产业链供应链安全稳定三方面继续发力，全力以赴促进外贸稳规模、优结构。,外贸 海关部门,https://news.cctv.com/2023/01/24/ARTInhJImln05qp2nqeuVvxN230124.shtml
2023-01-24 12:05:50,2022年12月私募资管产品备案762只,中国基金业协会日前发布的数据显示，2022年12月，证券期货经营机构当月共备案私募资管产品762只，设立规模899.65亿元。,私募基金 基金业,https://jingji.cctv.com/2023/01/24/ARTIPvAx4HFQ1ShbFZ3FOMFU230124.shtml
2023-01-22 14:34:34,新春经济｜春节档观影票价首降，平均票价54.6元,截至1月22日10时08分，2023春节档(1月21日-1月27日)总票房（含预售）突破10亿，总人次1830.17万人，总场次116.26万场，平均票价54.6元，相较2022年春节档预售同阶段的58.3元，下调了3.7元，也是自2016以来近7年平均票价首次下降。,票价 满江红 流浪地球 影片 春节 流浪地球2 无名 反弹因素 深海 场次,https://jingji.cctv.com/2023/01/22/ARTI6PhRg5uUwLhbo7K1MQjo230122.shtml
2023-01-22 06:25:33,贷款市场报价利率连续5月不变 实体经济融资成本将继续下行,1月20日，今年首期贷款市场报价利率（LPR）出炉。展望后市，专家认为，考虑到降低购房负担和贷款成本以提升居民购房需求的政策取向，支持楼市尽快企稳回暖，激发有效融资需求，短期内5年期以上LPR报价仍有下调空间。,LPR 实体经济,https://jingji.cctv.com/2023/01/22/ARTInelQeybiw1MjHpuONDN0230122.shtml
2023-01-22 06:02:54,春节消费哪只兔子最出圈？,虎去兔来，在庆祝春节的各个文创产品中，兔元素渐入高潮。玉兔·瑞盈贵州茅台生肖系列酒包含茅台生肖酒、贵州大曲生肖酒、茅台王子生肖酒等多款产品。,生肖酒 藏品,https://news.cctv.com/2023/01/22/ARTI7TulXZcn3HaAoJH768tw230122.shtml
2023-01-21 23:50:23,合作、增长、贡献——中国“关键词”回响世界经济论坛年会,世界经济论坛2023年年会20日在瑞士达沃斯闭幕。在本届年会大大小小数百场专题讨论中，“中国经济”是被反复提及的关键词，中国也成为与会者最寄予期待的主要经济体。,关键词 世界经济论坛 经济基本面 经济活力,https://jingji.cctv.com/2023/01/21/ARTINPHYd1LbkZDEnYSUos6e230121.shtml
