合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,419.00,419.80,419.00,419.20,1.60,0.38%,419.20,8.00,"3,353,600.00",-,,
Au99.99,418.23,420.00,417.30,419.21,0.98,0.23%,418.18,"9,558.40","3,915,830,263.60",-,,
Au100g,417.89,419.80,416.00,419.07,2.94,0.71%,417.61,6.00,"2,505,686.00",-,,
iAu99.99,417.31,418.05,417.25,417.62,2.22,0.53%,417.60,8.44,"3,524,600.40",-,,
Au(T+D),419.00,420.25,416.80,419.37,1.46,0.35%,418.57,"12,424.00","5,200,318,880.00","136,400",多支付给空,"5,586"
Au(T+N1),414.00,414.00,414.00,414.00,0.00,0.00%,414.00,1.00,"414,000.00","60,448",,
Au(T+N2),418.50,418.50,418.50,418.50,1.05,0.25%,418.50,0.80,"334,800.00","93,460",,
mAu(T+D),418.50,420.20,416.81,419.40,1.36,0.33%,418.71,"4,573.60","1,915,041,436.00","792,614",多支付给空,"45,996"
Pt99.95,236.00,236.21,236.00,236.01,1.41,0.60%,236.01,32.00,"7,552,420.00",-,,
Ag(T+D),"5,285","5,305","5,110","5,132",-134,-2.54%,"5,177","703,410.00","3,641,685,696.00","3,461,008",空支付给多,"123,540"
NYAuTN06,421.00,421.00,417.30,417.85,-0.25,-0.06%,419.00,24.60,"10,307,740.00","30,560",,
NYAuTN12,424.00,424.00,421.10,423.25,0.50,0.12%,422.55,23.60,"9,972,780.00","13,454",,
PGC30g,423.20,423.90,423.20,423.44,0.44,0.10%,423.44,0.30,"127,032.00",-,,
