合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,413.80,414.60,413.70,414.60,1.36,0.33%,414.15,52.00,"21,536,300.00",-,,
Au99.99,414.00,415.00,413.58,415.00,0.87,0.21%,414.14,"23,998.08","9,737,432,861.40",-,,
Au100g,415.00,417.80,415.00,417.11,2.12,0.51%,416.11,16.60,"6,907,520.00",-,,
iAu99.99,410.15,412.25,410.06,411.90,2.14,0.52%,410.88,938.62,"385,666,286.20",-,,
Au(T+D),413.87,414.74,413.10,414.54,1.69,0.41%,414.01,"11,058.00","4,578,225,000.00","143,776",多支付给空,"5,480"
Au(T+N1),415.50,415.50,415.50,415.50,12.00,2.97%,415.50,800.40,"332,566,200.00","8,450",,
Au(T+N2),417.80,418.50,415.20,418.10,1.55,0.37%,417.45,"3,792.00","1,582,971,700.00","93,468",,
mAu(T+D),413.60,414.75,413.05,414.52,1.57,0.38%,413.98,"10,608.60","4,391,838,934.00","792,580",多支付给空,"102,978"
Pt99.95,244.00,245.80,243.75,244.68,-0.41,-0.17%,244.34,336.00,"67,405,400.00",-,,
Ag(T+D),"5,174","5,246","5,155","5,235",45,0.87%,"5,207","463,432.00","2,413,340,674.00","3,687,112",多支付给空,330
NYAuTN06,413.30,414.40,407.00,414.30,1.80,0.44%,412.65,106.40,"43,905,630.00","30,576",,
NYAuTN12,416.50,417.60,415.40,417.45,1.30,0.31%,416.70,69.60,"29,003,500.00","5,678",,
PGC30g,419.30,419.60,419.30,419.40,1.87,0.45%,419.40,0.18,"75,492.00",-,,
