合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,406.50,406.50,404.30,404.51,-5.48,-1.34%,405.18,234.00,"95,154,800.00",-,,
Au99.99,407.00,408.00,404.38,404.38,-4.62,-1.13%,405.01,"20,241.38","8,024,952,171.00",-,,
Au100g,405.53,407.00,403.50,405.02,-3.47,-0.85%,404.81,30.00,"12,144,316.00",-,,
iAu99.99,404.57,404.57,401.41,401.43,-4.36,-1.07%,401.43,40.28,"16,169,666.00",-,,
Au(T+D),406.81,407.80,403.80,404.09,-3.19,-0.78%,404.93,"12,504.00","5,063,331,940.00","164,594",空支付给多,"6,316"
Au(T+N1),405.00,405.00,401.00,403.05,13.75,3.53%,403.50,17.60,"7,101,560.00",448,,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"1,652",多支付给空,"70,008"
mAu(T+D),406.90,407.98,404.05,404.34,-3.31,-0.81%,404.87,"7,556.60","3,059,463,714.00","726,502",空支付给多,"77,748"
Pt99.95,236.55,236.80,236.50,236.65,-3.57,-1.49%,236.65,24.00,"5,679,700.00",-,,
Ag(T+D),"5,350","5,405","5,220","5,255",-120,-2.23%,"5,296","558,288.00","2,957,005,098.00","4,522,646",空支付给多,"186,060"
NYAuTN06,407.20,408.00,404.30,404.60,-3.80,-0.93%,405.05,168.20,"68,131,760.00","32,628",,
NYAuTN12,404.50,404.70,400.95,401.10,-4.20,-1.04%,401.55,96.80,"38,869,880.00","18,356",,
PGC30g,411.00,411.00,411.00,411.00,-2.90,-0.70%,411.00,0.06,"24,660.00",-,,
