合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,419.50,422.00,419.50,421.16,1.96,0.47%,421.16,6.00,"2,527,000.00",-,,
Au99.99,419.21,423.50,418.00,422.45,3.24,0.77%,422.65,"3,342.76","1,412,818,757.20",-,,
Au100g,420.47,422.18,416.01,420.94,1.87,0.45%,419.98,12.60,"5,291,754.00",-,,
iAu99.99,417.57,421.18,417.57,420.34,2.72,0.65%,419.07,10.54,"4,417,053.00",-,,
Au(T+D),418.70,423.42,418.70,422.30,3.73,0.89%,421.80,"8,030.00","3,387,123,360.00","128,630",空支付给多,"10,704"
Au(T+N1),-,-,-,-,,,-,0.00,0.00,"60,448",,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"93,460",,
mAu(T+D),418.80,423.30,418.80,422.67,3.96,0.95%,422.19,"4,825.00","2,037,114,700.00","767,240",空支付给多,"65,626"
Pt99.95,233.90,234.70,233.30,234.47,-1.54,-0.65%,234.47,20.00,"4,689,400.00",-,,
Ag(T+D),"5,140","5,279","5,094","5,267",90,1.74%,"5,207","546,404.00","2,845,406,372.00","3,451,938",空支付给多,"85,530"
NYAuTN06,420.15,424.10,420.15,423.50,4.50,1.07%,423.60,65.80,"27,873,870.00","30,732",,
NYAuTN12,423.70,428.75,423.70,427.30,4.75,1.12%,427.30,247.80,"105,887,990.00","15,250",,
PGC30g,428.00,428.00,428.00,428.00,4.56,1.08%,428.00,0.06,"25,680.00",-,,
