合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,402.00,402.80,402.00,402.71,-1.80,-0.45%,402.53,150.00,"60,380,760.00",-,,
Au99.99,402.80,404.00,401.80,403.69,-0.69,-0.17%,402.61,"21,128.64","8,313,806,486.40",-,,
Au100g,403.00,404.40,401.37,404.30,-0.72,-0.18%,402.99,19.80,"7,979,378.00",-,,
iAu99.99,398.98,400.45,398.34,399.65,-1.78,-0.44%,398.96,562.80,"224,535,439.80",-,,
Au(T+D),402.50,403.50,401.33,403.20,-1.73,-0.43%,402.23,"14,836.00","5,967,515,700.00","167,772",空支付给多,"7,134"
Au(T+N2),404.50,404.50,400.80,403.40,1.00,0.25%,403.40,10.00,"4,033,900.00","1,692",,
mAu(T+D),403.00,403.65,401.45,403.39,-1.48,-0.37%,402.44,"8,587.00","3,455,813,714.00","738,614",空支付给多,"55,538"
Pt99.95,234.30,234.30,234.30,234.30,-2.35,-0.99%,234.30,20.00,"4,686,000.00",-,,
Ag(T+D),"5,246","5,279","5,150","5,209",-87,-1.64%,"5,208","918,224.00","4,782,928,580.00","4,179,860",空支付给多,"407,250"
NYAuTN06,402.30,430.00,393.00,403.65,-1.40,-0.35%,402.90,207.80,"83,726,870.00","32,836",,
NYAuTN12,400.00,408.00,395.00,406.45,5.55,1.38%,405.50,104.00,"42,171,700.00",812,,
PGC30g,408.50,409.00,307.50,315.95,-95.05,-23.13%,338.95,0.96,"325,398.00",-,,
